video_id,tribe_vs_pro,vlm_vs_pro,uniform_vs_pro,tribe_top,vlm_top,pro_top
EA3HCx0yTIY_000281_000291,0.2620641778218632,0.10721125326538868,0.4472135944999579,object_body,object_body,face_character
F-mRnL_XmJU_000000_000010,0.09649131707888567,0.6965805184475731,0.6135719891955433,scene_spatial,motion_action,face_character
HpRmj5ce32c_000001_000011,0.27098876808355216,0.221766380810962,0.4472135944999579,visual_form,motion_action,face_character
N-LZPc27kjM_000229_000239,0.060509873970835217,0.3518112442951903,0.6305926231062303,scene_spatial,visual_form,face_character
OASCPKazLIM_000132_000142,0.7226037267672147,0.7949984076452193,0.6324555300336757,scene_spatial,motion_action,motion_action
RlfVK8z5wJ0_000000_000010,0.6230787506460055,0.46169025701726657,0.6324555300336757,visual_form,motion_action,face_character
S-C86j0keqc_000217_000227,0.8968192366574033,0.7807200551842233,0.8451542511570881,scene_spatial,motion_action,scene_spatial
ShSSAEfnyDs_000000_000010,0.03914503079735211,0.7139959433693761,0.5491251768792229,scene_spatial,face_character,face_character
Xdz1cxEjLYc_000007_000017,0.21257532911303112,0.6863729572005107,0.6875516485886922,scene_spatial,motion_action,face_character
Z5w-wkrjHuw_000345_000355,0.6020198411393191,0.4746928818191439,0.5999999981999999,object_body,motion_action,scene_spatial
ZcYB6tPK2Eo_000138_000148,0.10242998730444618,0.20402454765300534,0.5934602934157274,visual_form,visual_form,face_character
_TKzyWZHjm8_000002_000012,0.16913286473703845,0.0,0.4472135944999579,visual_form,object_body,face_character
_oAKCHh_Av4_000003_000013,0.05384769812738801,0.7152041621904465,0.5757663131917008,scene_spatial,face_character,face_character
bgt29znHCzs_000343_000353,0.8316551300916748,0.7492686467390394,0.7302967406735549,visual_form,scene_spatial,scene_spatial
c_gQ9CSaZY4_000000_000010,0.9747317868436376,0.40689422855776514,0.4472135944999579,scene_spatial,motion_action,scene_spatial
crjesEwF0Ks_000197_000207,0.9358378197104575,0.5298129414225087,0.6324555300336757,scene_spatial,motion_action,scene_spatial
dlBeUWrse3I_000019_000029,0.14005563561137105,0.4297667419536705,0.5999999982,scene_spatial,object_body,motion_action
eb-ufaFcUas_000008_000018,0.3087659683569407,0.3254722765198562,0.6324555300336757,scene_spatial,motion_action,face_character
g8Idd47kGqo_000037_000047,0.23472095451514835,0.551257081874712,0.6914107152644687,visual_form,motion_action,scene_spatial
gFBO3zrod9Y_000005_000015,0.25233153004305375,0.4725185494476087,0.5568588163910964,object_body,motion_action,face_character
h8wsO9A9v_c_000016_000026,0.6163080767622903,0.48686449407866605,0.6324555300336757,scene_spatial,motion_action,scene_spatial
heWD9j45Emw_000225_000235,0.16484411154165057,0.25819888919160555,0.4472135944999579,scene_spatial,motion_action,face_character
iEAWgsSvJAE_000023_000033,0.4334077413731986,0.4769953950520824,0.5491251768792229,visual_form,motion_action,face_character
iGmGQxox43I_000000_000010,0.37874274190747836,0.13392990575845812,0.4472135944999579,visual_form,object_body,face_character
iZP6gjlr_nM_000113_000123,0.5475334575769515,0.7126966422426554,0.8451542511570881,scene_spatial,scene_spatial,motion_action
j4CKRgv3jUg_000000_000010,0.06347442093982697,0.1494870182487112,0.4472135944999579,scene_spatial,motion_action,face_character
j6CgiNeWQwM_000842_000852,0.3936151808018692,0.7690119025001236,0.7483314745547882,scene_spatial,motion_action,motion_action
jeweRSnAJeo_000050_000060,0.07455679045376833,0.25197631479980226,0.4472135944999579,visual_form,motion_action,face_character
lgJywzzdUC8_000000_000010,0.7072028179537836,0.6028597919418583,0.6201736710229652,scene_spatial,motion_action,visual_form
rGQ64NXktF8_000006_000016,0.020850223779959907,0.6270597115517763,0.4472135944999579,scene_spatial,motion_action,motion_action
u-olDM7oGGM_000012_000022,0.12649980533772878,0.5950616427050823,0.5999999982,scene_spatial,motion_action,face_character
v2Hr1CH-yb0_000076_000086,0.651536312644974,0.6694386793581658,0.6324555300336757,scene_spatial,object_body,motion_action
wbOD_G3ttgU_000083_000093,0.0404008912876998,0.6810052232156945,0.4472135944999579,scene_spatial,motion_action,motion_action
xW6hpK-DBMY_000080_000090,0.388463274902683,0.7463842318178704,0.7545937717799799,visual_form,motion_action,motion_action
