clip_idx,video_id,category,tier,gt,adqa_claude_haiku_4_5_claude_haiku_4_5_score,n_questions
8,hOirknJr3os_000001_000011,Travel,tier3_va11y,3,0.9,5
9,TF4q9y0rJoc_000000_000010,Sports,tier0_cross,0,0.0,5
9,TF4q9y0rJoc_000000_000010,Sports,tier1_vatex_short,1,0.2,5
9,TF4q9y0rJoc_000000_000010,Sports,tier2_vatex_long,2,0.4,5
9,TF4q9y0rJoc_000000_000010,Sports,tier3_va11y,3,0.5,5
11,z8Q-s8AthrA_000002_000012,Sports,tier0_cross,0,0.0,5
11,z8Q-s8AthrA_000002_000012,Sports,tier1_vatex_short,1,0.2,5
11,z8Q-s8AthrA_000002_000012,Sports,tier2_vatex_long,2,0.4,5
11,z8Q-s8AthrA_000002_000012,Sports,tier3_va11y,3,0.4,5
12,abaLFY_GI8k_000295_000305,Sports,tier0_cross,0,0.0,5
12,abaLFY_GI8k_000295_000305,Sports,tier1_vatex_short,1,0.2,5
12,abaLFY_GI8k_000295_000305,Sports,tier2_vatex_long,2,0.3,5
12,abaLFY_GI8k_000295_000305,Sports,tier3_va11y,3,0.6,5
13,KFcH6BYZWhc_000011_000021,Sports,tier0_cross,0,0.0,5
13,KFcH6BYZWhc_000011_000021,Sports,tier1_vatex_short,1,0.5,5
13,KFcH6BYZWhc_000011_000021,Sports,tier2_vatex_long,2,0.7,5
13,KFcH6BYZWhc_000011_000021,Sports,tier3_va11y,3,1.0,5
14,UDD6YcChywc_000000_000010,Sports,tier0_cross,0,0.0,5
14,UDD6YcChywc_000000_000010,Sports,tier1_vatex_short,1,0.5,5
14,UDD6YcChywc_000000_000010,Sports,tier2_vatex_long,2,0.7,5
14,UDD6YcChywc_000000_000010,Sports,tier3_va11y,3,1.0,5
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier0_cross,0,0.0,5
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier1_vatex_short,1,0.3,5
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier2_vatex_long,2,0.5,5
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier3_va11y,3,0.5,5
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier0_cross,0,0.0,5
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier1_vatex_short,1,0.0,5
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier2_vatex_long,2,0.3,5
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier3_va11y,3,0.7,5
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier0_cross,0,0.2,5
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier1_vatex_short,1,0.3,5
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier2_vatex_long,2,0.3,5
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier3_va11y,3,0.6,5
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier0_cross,0,0.1,5
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier1_vatex_short,1,0.1,5
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier2_vatex_long,2,0.4,5
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier3_va11y,3,0.6,5
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier0_cross,0,0.0,5
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier1_vatex_short,1,0.2,5
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier2_vatex_long,2,0.6,5
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier3_va11y,3,0.7,5
