video_id,kind,text_idx,word_count,scene_axis_count,scene_term_density_per_100w,has_who_role,has_action_relation,has_spatial_relation,has_count,n_who_role,n_action_relation,n_spatial_relation,n_count
9fuIpQgnNEQ_000049_000059,professional_ad,0,52,4,15.384615384615385,1,1,1,1,3,1,3,1
9fuIpQgnNEQ_000049_000059,vatex_caption,0,21,3,28.571428571428573,1,1,0,1,4,1,0,1
9fuIpQgnNEQ_000049_000059,vatex_caption,1,14,1,7.142857142857143,0,0,1,0,0,0,1,0
9fuIpQgnNEQ_000049_000059,vatex_caption,2,17,3,29.41176470588235,1,1,1,0,3,1,1,0
9fuIpQgnNEQ_000049_000059,vatex_caption,3,15,4,40.0,1,1,1,1,2,2,1,1
9fuIpQgnNEQ_000049_000059,vatex_caption,4,16,3,31.25,1,0,1,1,2,0,2,1
9fuIpQgnNEQ_000049_000059,vatex_caption,5,13,4,53.84615384615385,1,1,1,1,2,3,1,1
9fuIpQgnNEQ_000049_000059,vatex_caption,6,27,4,29.62962962962963,1,1,1,1,4,1,1,2
9fuIpQgnNEQ_000049_000059,vatex_caption,7,12,3,33.333333333333336,1,1,0,1,2,1,0,1
9fuIpQgnNEQ_000049_000059,vatex_caption,8,16,1,18.75,1,0,0,0,3,0,0,0
9fuIpQgnNEQ_000049_000059,vatex_caption,9,14,2,21.428571428571427,1,0,0,1,2,0,0,1
2kJxrcNRS9w_000047_000057,professional_ad,0,40,3,7.5,1,1,1,0,1,1,1,0
2kJxrcNRS9w_000047_000057,vatex_caption,0,15,1,6.666666666666667,1,0,0,0,1,0,0,0
2kJxrcNRS9w_000047_000057,vatex_caption,1,13,3,23.076923076923077,1,1,1,0,1,1,1,0
2kJxrcNRS9w_000047_000057,vatex_caption,2,12,1,16.666666666666668,0,1,0,0,0,2,0,0
2kJxrcNRS9w_000047_000057,vatex_caption,3,12,3,25.0,1,1,1,0,1,1,1,0
2kJxrcNRS9w_000047_000057,vatex_caption,4,14,2,14.285714285714286,1,0,1,0,1,0,1,0
2kJxrcNRS9w_000047_000057,vatex_caption,5,14,1,7.142857142857143,1,0,0,0,1,0,0,0
2kJxrcNRS9w_000047_000057,vatex_caption,6,11,2,18.181818181818183,1,0,1,0,1,0,1,0
2kJxrcNRS9w_000047_000057,vatex_caption,7,15,3,20.0,1,1,1,0,1,1,1,0
2kJxrcNRS9w_000047_000057,vatex_caption,8,10,2,20.0,1,0,1,0,1,0,1,0
2kJxrcNRS9w_000047_000057,vatex_caption,9,10,1,10.0,0,0,1,0,0,0,1,0
BHxn3qfPAl4_000018_000028,professional_ad,0,37,3,8.108108108108109,1,1,1,0,1,1,1,0
BHxn3qfPAl4_000018_000028,vatex_caption,0,13,1,7.6923076923076925,1,0,0,0,1,0,0,0
BHxn3qfPAl4_000018_000028,vatex_caption,1,18,3,16.666666666666668,1,1,1,0,1,1,1,0
BHxn3qfPAl4_000018_000028,vatex_caption,2,9,1,11.11111111111111,1,0,0,0,1,0,0,0
BHxn3qfPAl4_000018_000028,vatex_caption,3,23,4,21.73913043478261,1,1,1,1,1,1,2,1
BHxn3qfPAl4_000018_000028,vatex_caption,4,19,2,10.526315789473685,1,0,1,0,1,0,1,0
BHxn3qfPAl4_000018_000028,vatex_caption,5,12,1,8.333333333333334,1,0,0,0,1,0,0,0
BHxn3qfPAl4_000018_000028,vatex_caption,6,17,1,5.882352941176471,0,0,1,0,0,0,1,0
BHxn3qfPAl4_000018_000028,vatex_caption,7,9,1,11.11111111111111,1,0,0,0,1,0,0,0
BHxn3qfPAl4_000018_000028,vatex_caption,8,21,1,9.523809523809524,1,0,0,0,2,0,0,0
BHxn3qfPAl4_000018_000028,vatex_caption,9,13,0,0.0,0,0,0,0,0,0,0,0
u-olDM7oGGM_000012_000022,professional_ad,0,54,4,20.37037037037037,1,1,1,1,6,2,2,1
u-olDM7oGGM_000012_000022,vatex_caption,0,15,4,53.333333333333336,1,1,1,1,3,2,2,1
u-olDM7oGGM_000012_000022,vatex_caption,1,17,3,23.529411764705884,1,1,0,1,2,1,0,1
u-olDM7oGGM_000012_000022,vatex_caption,2,13,2,15.384615384615385,1,1,0,0,1,1,0,0
u-olDM7oGGM_000012_000022,vatex_caption,3,23,3,17.391304347826086,1,1,1,0,2,1,1,0
u-olDM7oGGM_000012_000022,vatex_caption,4,26,3,26.923076923076923,1,1,1,0,3,2,2,0
u-olDM7oGGM_000012_000022,vatex_caption,5,10,2,30.0,1,0,1,0,1,0,2,0
u-olDM7oGGM_000012_000022,vatex_caption,6,11,3,27.272727272727273,1,1,1,0,1,1,1,0
u-olDM7oGGM_000012_000022,vatex_caption,7,17,3,23.529411764705884,1,1,1,0,1,2,1,0
u-olDM7oGGM_000012_000022,vatex_caption,8,14,3,35.714285714285715,1,1,1,0,1,2,2,0
u-olDM7oGGM_000012_000022,vatex_caption,9,19,1,5.2631578947368425,1,0,0,0,1,0,0,0
BcW6Y7eufQE_000239_000249,professional_ad,0,53,2,9.433962264150944,1,0,1,0,4,0,1,0
BcW6Y7eufQE_000239_000249,vatex_caption,0,11,2,18.181818181818183,0,0,1,1,0,0,1,1
BcW6Y7eufQE_000239_000249,vatex_caption,1,17,1,11.764705882352942,1,0,0,0,2,0,0,0
BcW6Y7eufQE_000239_000249,vatex_caption,2,26,2,15.384615384615385,1,1,0,0,2,2,0,0
BcW6Y7eufQE_000239_000249,vatex_caption,3,20,3,30.0,1,0,1,1,2,0,2,2
BcW6Y7eufQE_000239_000249,vatex_caption,4,14,2,14.285714285714286,1,0,0,1,1,0,0,1
BcW6Y7eufQE_000239_000249,vatex_caption,5,12,3,50.0,1,1,0,1,2,2,0,2
BcW6Y7eufQE_000239_000249,vatex_caption,6,11,1,9.090909090909092,0,0,0,1,0,0,0,1
BcW6Y7eufQE_000239_000249,vatex_caption,7,13,2,15.384615384615385,1,0,0,1,1,0,0,1
BcW6Y7eufQE_000239_000249,vatex_caption,8,14,3,21.428571428571427,1,0,1,1,1,0,1,1
BcW6Y7eufQE_000239_000249,vatex_caption,9,20,2,15.0,1,0,1,0,1,0,2,0
d7_SY48r__8_000060_000070,professional_ad,0,42,3,9.523809523809524,1,1,1,0,2,1,1,0
d7_SY48r__8_000060_000070,vatex_caption,0,13,2,15.384615384615385,1,1,0,0,1,1,0,0
d7_SY48r__8_000060_000070,vatex_caption,1,11,0,0.0,0,0,0,0,0,0,0,0
d7_SY48r__8_000060_000070,vatex_caption,2,12,2,16.666666666666668,1,1,0,0,1,1,0,0
d7_SY48r__8_000060_000070,vatex_caption,3,16,3,18.75,1,1,1,0,1,1,1,0
d7_SY48r__8_000060_000070,vatex_caption,4,13,1,7.6923076923076925,0,1,0,0,0,1,0,0
d7_SY48r__8_000060_000070,vatex_caption,5,11,1,9.090909090909092,0,1,0,0,0,1,0,0
d7_SY48r__8_000060_000070,vatex_caption,6,16,2,12.5,1,0,0,1,1,0,0,1
d7_SY48r__8_000060_000070,vatex_caption,7,15,2,13.333333333333334,1,1,0,0,1,1,0,0
d7_SY48r__8_000060_000070,vatex_caption,8,11,0,0.0,0,0,0,0,0,0,0,0
d7_SY48r__8_000060_000070,vatex_caption,9,14,0,0.0,0,0,0,0,0,0,0,0
EA3HCx0yTIY_000281_000291,professional_ad,0,37,2,8.108108108108109,1,1,0,0,1,2,0,0
EA3HCx0yTIY_000281_000291,vatex_caption,0,11,2,18.181818181818183,1,1,0,0,1,1,0,0
EA3HCx0yTIY_000281_000291,vatex_caption,1,14,2,14.285714285714286,0,1,0,1,0,1,0,1
EA3HCx0yTIY_000281_000291,vatex_caption,2,12,3,33.333333333333336,1,1,0,1,1,1,0,2
EA3HCx0yTIY_000281_000291,vatex_caption,3,13,2,23.076923076923077,1,1,0,0,1,2,0,0
EA3HCx0yTIY_000281_000291,vatex_caption,4,13,2,15.384615384615385,1,0,0,1,1,0,0,1
EA3HCx0yTIY_000281_000291,vatex_caption,5,10,2,20.0,1,1,0,0,1,1,0,0
EA3HCx0yTIY_000281_000291,vatex_caption,6,14,2,14.285714285714286,1,1,0,0,1,1,0,0
EA3HCx0yTIY_000281_000291,vatex_caption,7,13,1,7.6923076923076925,1,0,0,0,1,0,0,0
EA3HCx0yTIY_000281_000291,vatex_caption,8,13,2,15.384615384615385,1,1,0,0,1,1,0,0
EA3HCx0yTIY_000281_000291,vatex_caption,9,17,4,23.529411764705884,1,1,1,1,1,1,1,1
y-_wJeVR3QQ_000035_000045,professional_ad,0,67,4,11.940298507462687,1,1,1,1,3,2,1,2
y-_wJeVR3QQ_000035_000045,vatex_caption,0,23,2,13.043478260869565,1,1,0,0,2,1,0,0
y-_wJeVR3QQ_000035_000045,vatex_caption,1,15,3,26.666666666666668,1,0,1,1,2,0,1,1
y-_wJeVR3QQ_000035_000045,vatex_caption,2,15,3,33.333333333333336,1,1,1,0,3,1,1,0
y-_wJeVR3QQ_000035_000045,vatex_caption,3,14,1,7.142857142857143,1,0,0,0,1,0,0,0
y-_wJeVR3QQ_000035_000045,vatex_caption,4,13,2,23.076923076923077,1,0,1,0,2,0,1,0
y-_wJeVR3QQ_000035_000045,vatex_caption,5,17,1,11.764705882352942,1,0,0,0,2,0,0,0
y-_wJeVR3QQ_000035_000045,vatex_caption,6,12,2,16.666666666666668,1,1,0,0,1,1,0,0
y-_wJeVR3QQ_000035_000045,vatex_caption,7,22,2,9.090909090909092,1,0,0,1,1,0,0,1
y-_wJeVR3QQ_000035_000045,vatex_caption,8,19,2,15.789473684210526,0,1,0,1,0,1,0,2
y-_wJeVR3QQ_000035_000045,vatex_caption,9,17,2,11.764705882352942,1,0,0,1,1,0,0,1
abaLFY_GI8k_000295_000305,professional_ad,0,64,4,14.0625,1,1,1,1,2,3,2,2
abaLFY_GI8k_000295_000305,vatex_caption,0,13,4,38.46153846153846,1,1,1,1,1,1,2,1
abaLFY_GI8k_000295_000305,vatex_caption,1,14,2,14.285714285714286,0,1,0,1,0,1,0,1
abaLFY_GI8k_000295_000305,vatex_caption,2,11,1,9.090909090909092,0,1,0,0,0,1,0,0
abaLFY_GI8k_000295_000305,vatex_caption,3,14,4,35.714285714285715,1,1,1,1,1,2,1,1
abaLFY_GI8k_000295_000305,vatex_caption,4,16,2,43.75,0,1,0,1,0,3,0,4
abaLFY_GI8k_000295_000305,vatex_caption,5,20,3,20.0,1,1,1,0,1,2,1,0
abaLFY_GI8k_000295_000305,vatex_caption,6,15,3,26.666666666666668,0,1,1,1,0,1,1,2
abaLFY_GI8k_000295_000305,vatex_caption,7,11,2,18.181818181818183,0,1,0,1,0,1,0,1
abaLFY_GI8k_000295_000305,vatex_caption,8,13,3,30.76923076923077,1,1,1,0,2,1,1,0
abaLFY_GI8k_000295_000305,vatex_caption,9,12,1,8.333333333333334,0,1,0,0,0,1,0,0
j6CgiNeWQwM_000842_000852,professional_ad,0,57,4,12.280701754385966,1,1,1,1,2,2,2,1
j6CgiNeWQwM_000842_000852,vatex_caption,0,10,2,20.0,1,0,1,0,1,0,1,0
j6CgiNeWQwM_000842_000852,vatex_caption,1,11,4,36.36363636363637,1,1,1,1,1,1,1,1
j6CgiNeWQwM_000842_000852,vatex_caption,2,18,2,22.22222222222222,1,1,0,0,2,2,0,0
j6CgiNeWQwM_000842_000852,vatex_caption,3,17,2,17.647058823529413,1,1,0,0,2,1,0,0
j6CgiNeWQwM_000842_000852,vatex_caption,4,15,3,26.666666666666668,1,1,1,0,1,2,1,0
j6CgiNeWQwM_000842_000852,vatex_caption,5,15,1,6.666666666666667,1,0,0,0,1,0,0,0
j6CgiNeWQwM_000842_000852,vatex_caption,6,22,4,27.272727272727273,1,1,1,1,2,1,2,1
j6CgiNeWQwM_000842_000852,vatex_caption,7,14,1,14.285714285714286,1,0,0,0,2,0,0,0
j6CgiNeWQwM_000842_000852,vatex_caption,8,25,2,12.0,0,0,1,1,0,0,2,1
j6CgiNeWQwM_000842_000852,vatex_caption,9,22,3,18.181818181818183,1,1,1,0,2,1,1,0
eb-ufaFcUas_000008_000018,professional_ad,0,61,3,8.19672131147541,1,1,1,0,2,2,1,0
eb-ufaFcUas_000008_000018,vatex_caption,0,19,3,21.05263157894737,1,1,1,0,1,1,2,0
eb-ufaFcUas_000008_000018,vatex_caption,1,18,2,11.11111111111111,1,0,0,1,1,0,0,1
eb-ufaFcUas_000008_000018,vatex_caption,2,12,2,16.666666666666668,1,1,0,0,1,1,0,0
eb-ufaFcUas_000008_000018,vatex_caption,3,12,2,16.666666666666668,1,1,0,0,1,1,0,0
eb-ufaFcUas_000008_000018,vatex_caption,4,14,2,14.285714285714286,1,1,0,0,1,1,0,0
eb-ufaFcUas_000008_000018,vatex_caption,5,11,1,9.090909090909092,1,0,0,0,1,0,0,0
eb-ufaFcUas_000008_000018,vatex_caption,6,10,1,10.0,0,1,0,0,0,1,0,0
eb-ufaFcUas_000008_000018,vatex_caption,7,16,2,12.5,1,0,0,1,1,0,0,1
eb-ufaFcUas_000008_000018,vatex_caption,8,10,1,20.0,0,1,0,0,0,2,0,0
eb-ufaFcUas_000008_000018,vatex_caption,9,12,1,8.333333333333334,1,0,0,0,1,0,0,0
OASCPKazLIM_000132_000142,professional_ad,0,55,3,9.090909090909092,1,1,1,0,2,2,1,0
OASCPKazLIM_000132_000142,vatex_caption,0,14,1,7.142857142857143,1,0,0,0,1,0,0,0
OASCPKazLIM_000132_000142,vatex_caption,1,17,1,5.882352941176471,0,1,0,0,0,1,0,0
OASCPKazLIM_000132_000142,vatex_caption,2,24,3,12.5,1,1,1,0,1,1,1,0
OASCPKazLIM_000132_000142,vatex_caption,3,14,1,7.142857142857143,1,0,0,0,1,0,0,0
OASCPKazLIM_000132_000142,vatex_caption,4,11,2,18.181818181818183,1,0,1,0,1,0,1,0
OASCPKazLIM_000132_000142,vatex_caption,5,10,1,10.0,1,0,0,0,1,0,0,0
OASCPKazLIM_000132_000142,vatex_caption,6,14,1,7.142857142857143,1,0,0,0,1,0,0,0
OASCPKazLIM_000132_000142,vatex_caption,7,12,1,8.333333333333334,1,0,0,0,1,0,0,0
OASCPKazLIM_000132_000142,vatex_caption,8,10,1,10.0,1,0,0,0,1,0,0,0
OASCPKazLIM_000132_000142,vatex_caption,9,12,1,8.333333333333334,1,0,0,0,1,0,0,0
heWD9j45Emw_000225_000235,professional_ad,0,58,3,12.068965517241379,1,1,1,0,1,5,1,0
heWD9j45Emw_000225_000235,vatex_caption,0,12,3,33.333333333333336,1,1,0,1,2,1,0,1
heWD9j45Emw_000225_000235,vatex_caption,1,18,2,22.22222222222222,1,1,0,0,1,3,0,0
heWD9j45Emw_000225_000235,vatex_caption,2,12,2,16.666666666666668,1,1,0,0,1,1,0,0
heWD9j45Emw_000225_000235,vatex_caption,3,11,1,18.181818181818183,0,1,0,0,0,2,0,0
heWD9j45Emw_000225_000235,vatex_caption,4,16,1,6.25,0,1,0,0,0,1,0,0
heWD9j45Emw_000225_000235,vatex_caption,5,18,3,16.666666666666668,1,1,1,0,1,1,1,0
heWD9j45Emw_000225_000235,vatex_caption,6,10,3,40.0,1,1,0,1,1,2,0,1
heWD9j45Emw_000225_000235,vatex_caption,7,12,3,25.0,1,1,0,1,1,1,0,1
heWD9j45Emw_000225_000235,vatex_caption,8,26,2,19.23076923076923,0,1,0,1,0,4,0,1
heWD9j45Emw_000225_000235,vatex_caption,9,13,3,30.76923076923077,1,1,0,1,1,2,0,1
xW6hpK-DBMY_000080_000090,professional_ad,0,56,4,17.857142857142858,1,1,1,1,1,5,3,1
xW6hpK-DBMY_000080_000090,vatex_caption,0,18,3,16.666666666666668,1,1,1,0,1,1,1,0
xW6hpK-DBMY_000080_000090,vatex_caption,1,13,2,15.384615384615385,1,1,0,0,1,1,0,0
xW6hpK-DBMY_000080_000090,vatex_caption,2,12,1,8.333333333333334,1,0,0,0,1,0,0,0
xW6hpK-DBMY_000080_000090,vatex_caption,3,16,2,12.5,1,0,1,0,1,0,1,0
xW6hpK-DBMY_000080_000090,vatex_caption,4,13,3,30.76923076923077,1,1,1,0,1,2,1,0
xW6hpK-DBMY_000080_000090,vatex_caption,5,11,1,9.090909090909092,1,0,0,0,1,0,0,0
xW6hpK-DBMY_000080_000090,vatex_caption,6,16,2,12.5,1,1,0,0,1,1,0,0
xW6hpK-DBMY_000080_000090,vatex_caption,7,14,3,21.428571428571427,1,1,1,0,1,1,1,0
xW6hpK-DBMY_000080_000090,vatex_caption,8,21,3,14.285714285714286,1,1,1,0,1,1,1,0
xW6hpK-DBMY_000080_000090,vatex_caption,9,11,1,9.090909090909092,1,0,0,0,1,0,0,0
j4CKRgv3jUg_000000_000010,professional_ad,0,47,2,6.382978723404255,1,0,0,1,2,0,0,1
j4CKRgv3jUg_000000_000010,vatex_caption,0,21,1,9.523809523809524,1,0,0,0,2,0,0,0
j4CKRgv3jUg_000000_000010,vatex_caption,1,12,2,16.666666666666668,0,1,1,0,0,1,1,0
j4CKRgv3jUg_000000_000010,vatex_caption,2,13,2,15.384615384615385,0,0,1,1,0,0,1,1
j4CKRgv3jUg_000000_000010,vatex_caption,3,13,3,30.76923076923077,1,1,1,0,2,1,1,0
j4CKRgv3jUg_000000_000010,vatex_caption,4,15,3,33.333333333333336,1,1,0,1,3,1,0,1
j4CKRgv3jUg_000000_000010,vatex_caption,5,17,2,23.529411764705884,1,0,0,1,3,0,0,1
j4CKRgv3jUg_000000_000010,vatex_caption,6,10,1,20.0,1,0,0,0,2,0,0,0
j4CKRgv3jUg_000000_000010,vatex_caption,7,16,2,12.5,0,1,1,0,0,1,1,0
j4CKRgv3jUg_000000_000010,vatex_caption,8,18,1,5.555555555555555,1,0,0,0,1,0,0,0
j4CKRgv3jUg_000000_000010,vatex_caption,9,17,3,17.647058823529413,1,1,1,0,1,1,1,0
S-C86j0keqc_000217_000227,professional_ad,0,47,3,12.76595744680851,1,1,1,0,2,3,1,0
S-C86j0keqc_000217_000227,vatex_caption,0,16,2,25.0,1,1,0,0,2,2,0,0
S-C86j0keqc_000217_000227,vatex_caption,1,11,2,36.36363636363637,1,1,0,0,2,2,0,0
S-C86j0keqc_000217_000227,vatex_caption,2,15,2,26.666666666666668,1,1,0,0,2,2,0,0
S-C86j0keqc_000217_000227,vatex_caption,3,16,2,25.0,1,1,0,0,2,2,0,0
S-C86j0keqc_000217_000227,vatex_caption,4,19,3,26.31578947368421,1,1,1,0,2,2,1,0
S-C86j0keqc_000217_000227,vatex_caption,5,16,2,18.75,1,1,0,0,2,1,0,0
S-C86j0keqc_000217_000227,vatex_caption,6,12,2,33.333333333333336,1,1,0,0,2,2,0,0
S-C86j0keqc_000217_000227,vatex_caption,7,14,2,21.428571428571427,1,1,0,0,1,2,0,0
S-C86j0keqc_000217_000227,vatex_caption,8,13,3,38.46153846153846,1,1,1,0,2,2,1,0
S-C86j0keqc_000217_000227,vatex_caption,9,11,2,36.36363636363637,1,1,0,0,2,2,0,0
gjoZic4WjiQ_000012_000022,professional_ad,0,60,4,11.666666666666666,1,1,1,1,2,2,2,1
gjoZic4WjiQ_000012_000022,vatex_caption,0,18,2,16.666666666666668,1,1,0,0,2,1,0,0
gjoZic4WjiQ_000012_000022,vatex_caption,1,11,1,9.090909090909092,1,0,0,0,1,0,0,0
gjoZic4WjiQ_000012_000022,vatex_caption,2,21,3,19.047619047619047,1,1,1,0,1,2,1,0
gjoZic4WjiQ_000012_000022,vatex_caption,3,12,2,16.666666666666668,1,0,0,1,1,0,0,1
gjoZic4WjiQ_000012_000022,vatex_caption,4,14,4,35.714285714285715,1,1,1,1,1,1,1,2
gjoZic4WjiQ_000012_000022,vatex_caption,5,26,3,11.538461538461538,1,1,0,1,1,1,0,1
gjoZic4WjiQ_000012_000022,vatex_caption,6,21,3,19.047619047619047,1,1,0,1,1,1,0,2
gjoZic4WjiQ_000012_000022,vatex_caption,7,16,2,12.5,1,1,0,0,1,1,0,0
gjoZic4WjiQ_000012_000022,vatex_caption,8,18,3,27.77777777777778,1,1,1,0,2,2,1,0
gjoZic4WjiQ_000012_000022,vatex_caption,9,17,2,23.529411764705884,1,1,0,0,2,2,0,0
N-LZPc27kjM_000229_000239,professional_ad,0,62,3,6.451612903225806,1,1,1,0,1,2,1,0
N-LZPc27kjM_000229_000239,vatex_caption,0,13,1,7.6923076923076925,0,0,1,0,0,0,1,0
N-LZPc27kjM_000229_000239,vatex_caption,1,17,3,17.647058823529413,1,1,0,1,1,1,0,1
N-LZPc27kjM_000229_000239,vatex_caption,2,16,2,12.5,1,1,0,0,1,1,0,0
N-LZPc27kjM_000229_000239,vatex_caption,3,17,3,17.647058823529413,1,1,0,1,1,1,0,1
N-LZPc27kjM_000229_000239,vatex_caption,4,13,2,15.384615384615385,1,0,1,0,1,0,1,0
N-LZPc27kjM_000229_000239,vatex_caption,5,19,1,5.2631578947368425,1,0,0,0,1,0,0,0
N-LZPc27kjM_000229_000239,vatex_caption,6,13,2,15.384615384615385,1,1,0,0,1,1,0,0
N-LZPc27kjM_000229_000239,vatex_caption,7,12,1,8.333333333333334,1,0,0,0,1,0,0,0
N-LZPc27kjM_000229_000239,vatex_caption,8,11,1,9.090909090909092,1,0,0,0,1,0,0,0
N-LZPc27kjM_000229_000239,vatex_caption,9,19,2,10.526315789473685,0,1,0,1,0,1,0,1
iEAWgsSvJAE_000023_000033,professional_ad,0,56,2,7.142857142857143,1,1,0,0,1,3,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,0,19,2,10.526315789473685,1,1,0,0,1,1,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,1,14,1,7.142857142857143,1,0,0,0,1,0,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,2,16,2,25.0,1,1,0,0,1,3,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,3,15,1,6.666666666666667,1,0,0,0,1,0,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,4,17,3,29.41176470588235,1,1,1,0,2,2,1,0
iEAWgsSvJAE_000023_000033,vatex_caption,5,14,2,14.285714285714286,1,1,0,0,1,1,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,6,14,2,21.428571428571427,1,1,0,0,2,1,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,7,19,2,21.05263157894737,1,1,0,0,2,2,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,8,17,2,11.764705882352942,1,1,0,0,1,1,0,0
iEAWgsSvJAE_000023_000033,vatex_caption,9,15,2,13.333333333333334,1,0,1,0,1,0,1,0
D297atE3gag_000203_000213,professional_ad,0,69,4,11.594202898550725,1,1,1,1,1,3,3,1
D297atE3gag_000203_000213,vatex_caption,0,15,2,13.333333333333334,0,0,1,1,0,0,1,1
D297atE3gag_000203_000213,vatex_caption,1,10,2,20.0,1,1,0,0,1,1,0,0
D297atE3gag_000203_000213,vatex_caption,2,12,1,8.333333333333334,1,0,0,0,1,0,0,0
D297atE3gag_000203_000213,vatex_caption,3,17,2,11.764705882352942,1,1,0,0,1,1,0,0
D297atE3gag_000203_000213,vatex_caption,4,10,0,0.0,0,0,0,0,0,0,0,0
D297atE3gag_000203_000213,vatex_caption,5,12,2,25.0,1,1,0,0,1,2,0,0
D297atE3gag_000203_000213,vatex_caption,6,16,1,6.25,1,0,0,0,1,0,0,0
D297atE3gag_000203_000213,vatex_caption,7,12,1,8.333333333333334,1,0,0,0,1,0,0,0
D297atE3gag_000203_000213,vatex_caption,8,13,2,15.384615384615385,1,1,0,0,1,1,0,0
D297atE3gag_000203_000213,vatex_caption,9,12,2,16.666666666666668,1,0,1,0,1,0,1,0
3su234u58DA_000172_000182,professional_ad,0,80,4,16.25,1,1,1,1,5,3,3,2
3su234u58DA_000172_000182,vatex_caption,0,13,2,15.384615384615385,1,0,0,1,1,0,0,1
3su234u58DA_000172_000182,vatex_caption,1,15,3,33.333333333333336,1,1,1,0,2,2,1,0
3su234u58DA_000172_000182,vatex_caption,2,12,2,16.666666666666668,1,0,0,1,1,0,0,1
3su234u58DA_000172_000182,vatex_caption,3,15,2,20.0,1,0,1,0,2,0,1,0
3su234u58DA_000172_000182,vatex_caption,4,22,4,31.818181818181817,1,1,1,1,3,1,2,1
