video_id,category,pro_words,pro_scene_axes,avg_caption_scene_axes,max_caption_scene_axes,pro_minus_avg_caption_axes,pro_minus_max_caption_axes,pro_scene_density_per_100w,avg_caption_scene_density_per_100w,max_caption_scene_density_per_100w,pro_minus_avg_caption_density,pro_has_who_role,caption_any_has_who_role,caption_avg_has_who_role,pro_has_action_relation,caption_any_has_action_relation,caption_avg_has_action_relation,pro_has_spatial_relation,caption_any_has_spatial_relation,caption_avg_has_spatial_relation,pro_has_count,caption_any_has_count,caption_avg_has_count
OASCPKazLIM_000132_000142,How-to & Instructional,55,3,1.3,3,1.7,0,9.090909090909092,9.465940921823275,18.181818181818183,-0.3750318309141836,1,1,0.9,1,1,0.2,1,1,0.2,0,0,0
heWD9j45Emw_000225_000235,Music,58,3,2.3,3,0.7000000000000002,0,12.068965517241379,22.832070707070706,40.0,-10.763105189829327,1,1,0.7,1,1,1,1,1,0.1,0,1,0.5
xW6hpK-DBMY_000080_000090,How-to & Instructional,56,4,2.1,3,1.9,1,17.857142857142858,15.004995004995006,30.76923076923077,2.8521478521478514,1,1,1,1,1,0.6,1,1,0.5,1,0,0
j4CKRgv3jUg_000000_000010,Entertainment,47,2,2,3,0,-1,6.382978723404255,18.490968182144652,33.333333333333336,-12.107989458740397,1,1,0.7,0,1,0.5,0,1,0.5,1,1,0.3
S-C86j0keqc_000217_000227,Event,47,3,2.2,3,0.7999999999999998,0,12.76595744680851,28.768317209106684,38.46153846153846,-16.002359762298173,1,1,1,1,1,1,1,1,0.2,0,0,0
gjoZic4WjiQ_000012_000022,Pets & Animals,60,4,2.5,4,1.5,0,11.666666666666666,19.157941731471144,35.714285714285715,-7.491275064804478,1,1,1,1,1,0.8,1,1,0.3,1,1,0.4
N-LZPc27kjM_000229_000239,How-to & Instructional,62,3,1.8,3,1.2,0,6.451612903225806,11.946937221705024,17.647058823529413,-5.495324318479218,1,1,0.8,1,1,0.5,1,1,0.2,0,1,0.3
iEAWgsSvJAE_000023_000033,Film & Animation,56,2,1.9,3,0.10000000000000009,-1,7.142857142857143,16.06125608137992,29.41176470588235,-8.918398938522778,1,1,1,1,1,0.7,0,1,0.2,0,0,0
D297atE3gag_000203_000213,How-to & Instructional,69,4,1.5,2,2.5,2,11.594202898550725,12.5065987933635,25.0,-0.912395894812775,1,1,0.8,1,1,0.4,1,1,0.2,1,1,0.1
3su234u58DA_000172_000182,Entertainment,80,4,2.6,4,1.4,0,16.25,23.396750308515013,33.333333333333336,-7.1467503085150135,1,1,1,1,1,0.6,1,1,0.4,1,1,0.6
wbOD_G3ttgU_000083_000093,How-to & Instructional,55,3,3.1,4,-0.10000000000000009,-1,14.545454545454545,35.32462635403812,50.0,-20.77917180858357,1,1,1,1,1,1,0,1,0.2,1,1,0.9
z8Q-s8AthrA_000002_000012,Sports,69,3,2.1,3,0.8999999999999999,0,11.594202898550725,23.131339248986308,35.714285714285715,-11.537136350435583,1,1,1,1,1,0.8,1,1,0.3,0,0,0
_oAKCHh_Av4_000003_000013,People & Vlogs,48,4,1.5,2,2.5,2,10.416666666666666,11.775252525252526,20.0,-1.35858585858586,1,1,0.9,1,1,0.4,1,1,0.2,1,0,0
v2Hr1CH-yb0_000076_000086,How-to & Instructional,62,2,2,3,0,-1,3.225806451612903,20.626082251082252,33.333333333333336,-17.400275799469348,1,1,0.9,1,1,0.4,0,1,0.1,0,1,0.6
1-jIze6gy0g_000026_000036,How-to & Instructional,62,4,1.6,2,2.4,2,11.290322580645162,13.193814956972853,25.0,-1.9034923763276907,1,1,0.8,1,1,0.2,1,1,0.2,1,1,0.4
RjPp0ZPW0yc_000000_000010,How-to & Instructional,46,3,2,3,1,0,13.043478260869565,19.941186264715675,27.272727272727273,-6.897708003846111,1,1,0.9,1,1,0.9,1,1,0.1,0,1,0.1
Z5w-wkrjHuw_000345_000355,Entertainment,50,3,2.3,3,0.7000000000000002,0,12.0,23.8126756284651,50.0,-11.8126756284651,1,1,0.9,1,1,0.3,1,1,0.3,0,1,0.8
8vkNr_eysXY_000002_000012,How-to & Instructional,53,3,2,3,1,0,11.320754716981131,21.082251082251084,33.333333333333336,-9.761496365269952,1,1,1,1,1,0.7,1,1,0.3,0,0,0
21T1JDdJgsM_000047_000057,Entertainment,54,4,2.5,4,1.5,0,12.962962962962964,16.962541135335254,31.25,-3.9995781723722903,1,1,1,1,1,0.6,1,1,0.6,1,1,0.3
RlfVK8z5wJ0_000000_000010,Sports,50,2,1.9,3,0.10000000000000009,-1,6.0,13.551556286850404,23.529411764705884,-7.5515562868504045,1,1,0.8,1,1,0.8,0,1,0.3,0,0,0
ZcYB6tPK2Eo_000138_000148,How-to & Instructional,56,3,1.3,2,1.7,1,10.714285714285714,10.112845487845489,20.0,0.601440226440225,1,1,0.8,1,1,0.4,1,1,0.1,0,0,0
_TKzyWZHjm8_000002_000012,Health & Wellness,65,2,1.5,3,0.5,-1,4.615384615384615,10.795288045288046,23.076923076923077,-6.1799034299034314,1,1,0.8,1,1,0.4,0,1,0.2,0,1,0.1
AEkLDauJVi0_000069_000079,Food & Cooking,58,3,1.7,2,1.3,1,12.068965517241379,13.247611865258925,17.647058823529413,-1.178646348017546,1,1,0.7,1,1,0.4,1,1,0.5,0,1,0.1
F-mRnL_XmJU_000000_000010,Entertainment,48,3,2.1,3,0.8999999999999999,0,16.666666666666668,20.107524570372867,29.41176470588235,-3.440857903706199,1,1,1,1,1,0.9,1,1,0.2,0,0,0
0t0DB1B1w8Y_000000_000010,Sports,53,4,3.3,4,0.7000000000000002,0,16.9811320754717,26.075601385198908,41.1764705882353,-9.09446930972721,1,1,0.8,1,1,0.9,1,1,1,1,1,0.6
g8Idd47kGqo_000037_000047,Entertainment,54,4,2,3,2,1,18.51851851851852,23.39044289044289,36.36363636363637,-4.871924371924372,1,1,0.7,1,1,0.9,1,1,0.4,1,0,0
crjesEwF0Ks_000197_000207,How-to & Instructional,50,3,1.7,3,1.3,0,14.0,12.562409812409813,18.181818181818183,1.437590187590187,1,1,0.8,1,1,0.8,1,1,0.1,0,0,0
ShSSAEfnyDs_000000_000010,Entertainment,47,3,1.9,3,1.1,0,19.148936170212767,19.22366359131065,30.76923076923077,-0.074727421097883,1,1,0.9,1,1,0.4,1,1,0.4,0,1,0.2
gFBO3zrod9Y_000005_000015,People & Vlogs,52,3,1.2,2,1.8,1,7.6923076923076925,10.575145442792502,23.076923076923077,-2.8828377504848097,1,1,0.7,1,1,0.3,1,1,0.2,0,0,0
750QhTe9Z4U_000000_000010,People & Vlogs,59,3,2,3,1,0,13.559322033898304,22.141941391941394,30.76923076923077,-8.58261935804309,1,1,0.9,1,1,0.7,1,1,0.3,0,1,0.1
1kLhK8KfIEw_000020_000030,How-to & Instructional,34,3,2.2,3,0.7999999999999998,0,14.705882352941176,18.16504329004329,26.666666666666668,-3.459160937102114,1,1,1,1,1,0.8,1,1,0.4,0,0,0
LRtwpDIf6iY_000136_000146,Health & Wellness,44,4,1.7,4,2.3,0,13.636363636363637,15.486263736263737,40.0,-1.8499000999001005,1,1,0.9,1,1,0.2,1,1,0.4,1,1,0.2
lgJywzzdUC8_000000_000010,Event,53,2,1.3,3,0.7,-1,3.7735849056603774,10.269716394716395,27.272727272727273,-6.496131489056018,0,1,0.4,1,1,0.6,1,1,0.3,0,0,0
KFcH6BYZWhc_000011_000021,Sports,67,3,2.4,4,0.6000000000000001,-1,13.432835820895523,17.804486706963488,31.57894736842105,-4.371650886067965,1,1,0.8,0,1,0.4,1,1,0.6,1,1,0.6
iZP6gjlr_nM_000113_000123,How-to & Instructional,64,3,2,4,1,-1,9.375,16.441974691974693,25.0,-7.066974691974693,1,1,0.9,1,1,0.3,0,1,0.4,1,1,0.4
A0e7Z55s8pE_000008_000018,How-to & Instructional,42,4,1.9,3,2.1,1,16.666666666666668,12.062409812409813,21.428571428571427,4.604256854256855,1,1,1,1,1,0.1,1,1,0.6,1,1,0.2
v6EZNrgNoYA_000000_000010,Entertainment,44,3,2.4,3,0.6000000000000001,0,13.636363636363637,28.709195997239476,42.857142857142854,-15.07283236087584,1,1,1,1,1,1,1,1,0.4,0,0,0
9eBhetL8n5Q_000222_000232,People & Vlogs,76,3,2.3,3,0.7000000000000002,0,10.526315789473685,21.680416805416804,30.0,-11.15410101594312,0,1,0.7,1,1,1,1,0,0,1,1,0.6
2JRKnIPuIm4_000021_000031,How-to & Instructional,53,2,1.7,3,0.30000000000000004,-1,5.660377358490566,12.908658008658008,20.0,-7.248280650167443,1,1,1,1,1,0.6,0,1,0.1,0,0,0
GOH6fBhoi2o_000010_000020,Entertainment,39,3,1.7,3,1.3,0,15.384615384615385,16.16910866910867,30.76923076923077,-0.7844932844932853,1,1,0.7,1,1,0.6,1,1,0.4,0,0,0
zTJ0Zbv1jBo_000045_000055,Health & Wellness,48,4,2.2,3,1.7999999999999998,1,16.666666666666668,20.784110626215888,42.857142857142854,-4.11744395954922,1,1,0.8,1,1,1,1,1,0.3,1,1,0.1
bgt29znHCzs_000343_000353,Sports,79,4,2.4,3,1.6,1,10.126582278481013,25.732612975260036,50.0,-15.606030696779023,1,1,1,1,1,0.3,1,1,0.4,1,1,0.7
6cLx61IDvi4_000009_000019,How-to & Instructional,49,4,3.1,4,0.8999999999999999,0,20.408163265306122,26.040446020305357,45.45454545454545,-5.632282754999235,1,1,0.9,1,1,0.9,1,1,0.7,1,1,0.6
0m0-Q0zz_-c_000112_000122,How-to & Instructional,57,3,1,2,2,1,7.017543859649122,8.161838161838162,16.666666666666668,-1.1442943021890395,1,1,0.9,1,1,0.1,1,0,0,0,0,0
VgiNUufFoWQ_000385_000395,How-to & Instructional,61,3,1.4,2,1.6,1,4.918032786885246,11.649392274392275,18.181818181818183,-6.731359487507029,1,1,0.8,1,1,0.5,1,1,0.1,0,0,0
Ccgwurislg8_000082_000092,How-to & Instructional,49,3,1.6,3,1.4,0,6.122448979591836,12.35260937892517,23.076923076923077,-6.230160399333333,1,1,1,1,1,0.3,1,1,0.3,0,0,0
oNxxDYNA52s_000085_000095,Sports,55,4,2,3,2,1,9.090909090909092,20.751803751803752,50.0,-11.66089466089466,1,1,0.8,1,1,0.4,1,1,0.1,1,1,0.7
1YemrpNBpf4_000001_000011,Entertainment,49,2,1.3,3,0.7,-1,10.204081632653061,7.508838383838384,13.636363636363637,2.695243248814677,1,1,0.8,1,1,0.4,0,1,0.1,0,0,0
h9m7Jsw5vrw_000046_000056,Health & Wellness,50,3,2,3,1,0,8.0,15.676215124744537,27.272727272727273,-7.676215124744537,1,1,0.9,1,1,0.9,1,1,0.1,0,1,0.1
RAcacx5bGFg_000000_000010,How-to & Instructional,44,3,2.3,3,0.7000000000000002,0,22.727272727272727,20.98060762766645,33.333333333333336,1.7466650996062754,1,1,1,1,1,0.5,1,1,0.8,0,0,0
I7LRb7gByug_000187_000197,How-to & Instructional,52,1,1.3,2,-0.30000000000000004,-1,1.9230769230769231,9.384421134421135,18.181818181818183,-7.461344211344212,1,1,0.7,0,1,0.3,0,1,0.3,0,0,0
95YJMSMrrFY_000000_000010,Sports,37,3,2.7,4,0.2999999999999998,-1,10.81081081081081,24.838451677380895,40.0,-14.027640866570085,1,1,0.9,1,1,1,1,1,0.5,0,1,0.3
RCoFRq-p9MM_000259_000269,Sports,55,4,2,4,2,0,14.545454545454545,21.957199663082015,50.0,-7.41174511762747,1,1,0.4,1,1,0.6,1,1,0.4,1,1,0.6
R4Pyo8HH3HE_000015_000025,Sports,47,2,2,4,0,-2,6.382978723404255,17.84634663582032,35.714285714285715,-11.463367912416066,0,1,0.9,1,1,0.6,0,1,0.3,1,1,0.2
aa3CxBT4l1s_000047_000057,People & Vlogs,53,2,1.2,2,0.8,0,11.320754716981131,15.207717119481826,28.571428571428573,-3.8869624025006946,1,1,1,0,1,0.1,1,1,0.1,0,0,0
5ZrR2NJUOeU_000061_000071,Entertainment,58,3,1.2,2,1.8,1,10.344827586206897,12.35005925447102,23.076923076923077,-2.0052316682641234,1,1,0.8,1,1,0.3,1,1,0.1,0,0,0
reFGFzbRp5Q_000027_000037,Entertainment,65,2,1.4,2,0.6000000000000001,0,9.23076923076923,13.82861582861583,23.076923076923077,-4.597846597846599,0,1,0.3,1,1,0.6,1,1,0.5,0,0,0
KxiL-8tNt1A_000017_000027,Pets & Animals,42,2,1.5,3,0.5,-1,9.523809523809524,14.174692954104719,29.41176470588235,-4.650883430295195,1,1,0.9,1,1,0.4,0,0,0,0,1,0.2
Y4oys5bb_FE_000021_000031,Sports,68,4,2.1,4,1.9,0,13.235294117647058,16.399460188933872,38.46153846153846,-3.1641660712868145,1,1,0.5,1,1,0.7,1,1,0.1,1,1,0.8
lVDNcoT6R0A_000041_000051,How-to & Instructional,51,3,1.4,2,1.6,1,13.72549019607843,16.960317460317462,26.666666666666668,-3.2348272642390317,1,1,1,1,1,0.2,1,0,0,0,1,0.2
lZ7-OqFQaPc_000000_000010,How-to & Instructional,59,3,2,3,1,0,16.949152542372882,14.620042496203487,21.05263157894737,2.3291100461693954,1,1,1,1,1,0.5,1,1,0.5,0,0,0
IB0GWABkT-k_000189_000199,Sports,58,1,1.1,2,-0.10000000000000009,-1,1.7241379310344827,8.783008658008658,14.285714285714286,-7.058870726974176,1,1,0.4,0,1,0.6,0,1,0.1,0,0,0
8FC7KLzeFFs_000012_000022,Entertainment,39,2,1.4,2,0.6000000000000001,0,5.128205128205129,10.388480196984034,23.076923076923077,-5.260275068778905,1,1,1,1,1,0.3,0,1,0.1,0,0,0
OegoxK2rWBQ_000158_000168,Health & Wellness,63,4,1.5,3,2.5,1,11.11111111111111,15.867167919799499,26.666666666666668,-4.756056808688388,1,1,0.5,1,0,0,1,1,0.5,1,1,0.5
t2A8xBaEpJA_000156_000166,Entertainment,71,3,1.9,3,1.1,0,8.450704225352112,16.324816093778942,25.0,-7.87411186842683,1,1,1,0,1,0.5,1,1,0.2,1,1,0.2
E7-8duZ65lk_000000_000010,Health & Wellness,46,3,2.5,3,0.5,0,6.521739130434782,24.232764139884885,36.36363636363637,-17.711025009450104,0,1,0.2,1,1,1,1,1,0.3,1,1,1
K2RXBhHa7M4_000023_000033,How-to & Instructional,62,2,1.7,3,0.30000000000000004,-1,6.451612903225806,12.155220940050661,25.0,-5.703608036824855,1,1,1,1,1,0.4,0,1,0.3,0,0,0
Q5b2QtP_jWU_000000_000010,Health & Wellness,42,3,2.2,3,0.7999999999999998,0,14.285714285714286,22.197802197802197,41.666666666666664,-7.912087912087911,1,1,1,1,1,0.9,1,1,0.2,0,1,0.1
D9QhY6ecmrw_000006_000016,How-to & Instructional,60,3,1.4,3,1.6,0,10.0,13.894293685853789,35.714285714285715,-3.894293685853789,1,1,0.8,1,1,0.5,1,0,0,0,1,0.1
058y9xGmmTQ_000206_000216,Food & Cooking,62,3,1.8,2,1.2,1,11.290322580645162,14.952726367200052,22.22222222222222,-3.66240378655489,1,1,1,1,1,0.8,1,0,0,0,0,0
77aSi1xRVtY_000000_000010,How-to & Instructional,29,3,2.1,3,0.8999999999999999,0,13.793103448275861,19.138377961907374,30.0,-5.345274513631512,1,1,0.9,1,1,0.3,0,0,0,1,1,0.9
LfKpPMNdH_c_000033_000043,Film & Animation,40,3,2.1,3,0.8999999999999999,0,10.0,16.62071262071262,22.22222222222222,-6.62071262071262,1,1,1,1,1,0.9,1,1,0.2,0,0,0
LhxhmQTToY8_000579_000589,How-to & Instructional,59,3,1.4,2,1.6,1,11.864406779661017,10.40000685588921,18.181818181818183,1.4643999237718077,1,1,0.7,1,1,0.3,1,1,0.4,0,0,0
Ll89dFyfffE_000032_000042,Pets & Animals,69,4,2.1,3,1.9,1,10.144927536231885,21.155587833219414,33.333333333333336,-11.01066029698753,1,1,0.9,1,1,0.4,1,1,0.1,1,1,0.7
UDD6YcChywc_000000_000010,Sports,46,3,1.8,3,1.2,0,8.695652173913043,13.333615813475149,25.925925925925927,-4.6379636395621056,1,1,1,0,1,0.5,1,1,0.2,1,1,0.1
3Wf8IbO8Hwk_000017_000027,Pets & Animals,34,1,1.2,2,-0.19999999999999996,-1,5.882352941176471,11.500146911911617,20.0,-5.617793970735146,1,1,0.7,0,1,0.4,0,1,0.1,0,0,0
0pDqEbRFaII_000000_000010,Food & Cooking,32,2,1.6,3,0.3999999999999999,-1,12.5,12.188125599890306,26.666666666666668,0.31187440010969425,1,1,0.9,1,1,0.6,0,0,0,0,1,0.1
XL2YrZd4nQo_000000_000010,How-to & Instructional,36,3,2.3,3,0.7000000000000002,0,13.88888888888889,18.39387830577762,26.666666666666668,-4.50498941688873,1,1,1,1,1,0.5,1,1,0.8,0,0,0
z73qlNpvw80_000151_000161,How-to & Instructional,68,3,1.7,2,1.3,1,10.294117647058824,14.597216508981216,22.22222222222222,-4.3030988619223915,1,1,0.6,1,1,0.3,1,1,0.8,0,0,0
eeNEOEE8gus_000001_000011,Food & Cooking,63,3,1.9,3,1.1,0,14.285714285714286,17.957986457986458,25.0,-3.672272172272171,1,1,0.9,1,1,0.1,1,1,0.3,0,1,0.6
Xdz1cxEjLYc_000007_000017,Food & Cooking,63,3,1.6,2,1.4,1,7.936507936507937,11.437790279895543,18.181818181818183,-3.501282343387606,1,1,0.8,1,1,0.7,1,1,0.1,0,0,0
SAISuCs1IiI_000017_000027,Health & Wellness,59,3,1.5,3,1.5,0,5.084745762711864,11.205128205128206,26.666666666666668,-6.120382442416342,1,1,1,1,1,0.2,0,1,0.1,1,1,0.2
HpRmj5ce32c_000001_000011,Sports,60,3,2.1,4,0.8999999999999999,-1,11.666666666666666,19.325463416653115,44.44444444444444,-7.658796749986449,1,1,0.8,0,1,0.5,1,1,0.2,1,1,0.6
uthMsG_UELM_000000_000010,People & Vlogs,46,3,1,2,2,1,6.521739130434782,7.108589939472292,15.384615384615385,-0.58685080903751,1,1,0.6,1,1,0.2,1,1,0.2,0,0,0
dlBeUWrse3I_000019_000029,How-to & Instructional,64,4,2.5,4,1.5,0,17.1875,21.23847749346842,30.0,-4.0509774934684195,1,1,0.9,1,1,0.6,1,1,0.6,1,1,0.4
qGfEiJEu0AM_000003_000013,Music,49,4,1.9,3,2.1,1,16.3265306122449,19.6825755943403,50.0,-3.3560449820954013,1,1,0.9,1,1,0.8,1,1,0.1,1,1,0.1
yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",63,4,2.1,3,1.9,1,15.873015873015873,22.241033476327594,45.45454545454545,-6.368017603311721,1,1,0.9,1,1,0.5,1,1,0.3,1,1,0.4
-fOzK1enQsU_000000_000010,How-to & Instructional,74,4,1.3,3,2.7,1,9.45945945945946,10.504273504273504,30.76923076923077,-1.0448140448140446,1,1,0.6,1,1,0.1,1,1,0.5,1,1,0.1
c_gQ9CSaZY4_000000_000010,How-to & Instructional,52,3,1.8,3,1.2,0,11.538461538461538,12.704023874302512,21.05263157894737,-1.1655623358409741,1,1,0.9,1,1,0.2,1,1,0.6,0,1,0.1
h8wsO9A9v_c_000016_000026,People & Vlogs,39,3,2.7,3,0.2999999999999998,0,15.384615384615385,22.15034965034965,27.272727272727273,-6.765734265734265,1,1,1,1,1,0.9,1,1,0.8,0,0,0
1HUWWCLza0w_000000_000010,Sports,65,3,2.2,3,0.7999999999999998,0,12.307692307692308,15.644771894771896,33.333333333333336,-3.3370795870795877,1,1,1,1,1,0.7,1,1,0.5,0,0,0
HB11MXjwvVo_000021_000031,People & Vlogs,49,3,1.6,3,1.4,0,10.204081632653061,16.01443654384831,30.76923076923077,-5.8103549111952475,1,1,0.6,1,1,0.8,1,1,0.2,0,0,0
Bss3WwpDdS8_000041_000051,People & Vlogs,84,4,2.5,4,1.5,0,15.476190476190476,26.05547094019634,47.36842105263158,-10.579280464005864,1,1,1,1,1,0.4,1,1,0.4,1,1,0.7
60X8l03qnlU_000001_000011,Sports,48,2,2.6,3,-0.6000000000000001,-1,4.166666666666667,20.191799686381728,26.31578947368421,-16.02513301971506,1,1,1,0,1,0.8,1,1,0.8,0,0,0
rGQ64NXktF8_000006_000016,People & Vlogs,46,2,2.1,4,-0.10000000000000009,-2,4.3478260869565215,16.257114789235533,31.818181818181817,-11.909288702279012,0,1,0.4,1,1,0.8,0,1,0.2,1,1,0.7
9IyZ8sJV7XU_000021_000031,How-to & Instructional,72,3,1.7,4,1.3,-1,6.944444444444445,13.07022363601311,30.0,-6.125779191568665,1,1,0.9,1,1,0.4,1,1,0.2,0,1,0.2
jeweRSnAJeo_000050_000060,Film & Animation,40,3,1.2,2,1.8,1,10.0,7.795546558704453,13.333333333333334,2.2044534412955468,1,1,0.8,1,1,0.1,1,1,0.2,0,1,0.1
b9JXIIs96hA_000077_000087,How-to & Instructional,40,2,1.4,2,0.6000000000000001,0,15.0,14.849261849261849,23.076923076923077,0.15073815073815133,1,1,1,1,1,0.3,0,1,0.1,0,0,0
s6pPbsmIhEw_000020_000030,Entertainment,66,3,1.6,3,1.4,0,6.0606060606060606,14.31150222326693,28.571428571428573,-8.250896162660869,1,1,0.9,1,1,0.5,1,1,0.2,0,0,0
O0hqyxavhCE_000007_000017,Music,33,3,2.2,4,0.7999999999999998,-1,18.181818181818183,17.39606227106227,30.76923076923077,0.7857559107559133,1,1,0.8,1,1,0.9,1,1,0.4,0,1,0.1
rJk8fad5ZnU_000007_000017,How-to & Instructional,59,3,1.7,2,1.3,1,10.169491525423728,14.316849816849818,21.428571428571427,-4.147358291426089,1,1,1,1,1,0.7,1,0,0,0,0,0
OJLx2iuJiLk_000003_000013,How-to & Instructional,84,3,1.5,2,1.5,1,11.904761904761905,13.573926073926074,23.076923076923077,-1.6691641691641692,1,1,1,1,1,0.3,1,1,0.2,0,0,0
3P5sjWImRqA_000010_000020,Sports,55,3,2.2,3,0.7999999999999998,0,14.545454545454545,17.410157652804713,23.076923076923077,-2.8647031073501683,1,1,0.9,1,1,0.8,1,1,0.4,0,1,0.1
nb2stPDIPW4_000000_000010,People & Vlogs,69,3,1.9,3,1.1,0,14.492753623188406,14.47407735023834,27.77777777777778,0.018676272950065353,1,1,1,1,1,0.5,1,1,0.4,0,0,0
StPYHQh2yuI_000023_000033,Event,78,3,1.1,2,1.9,1,11.538461538461538,14.323656735421443,28.571428571428573,-2.7851951969599043,1,1,1,1,0,0,1,1,0.1,0,0,0
esdAd3gN3OE_000000_000010,How-to & Instructional,58,3,2.5,3,0.5,0,13.793103448275861,26.813767931414993,36.36363636363637,-13.020664483139132,1,1,1,1,1,0.9,1,1,0.6,0,0,0
34ksx-DQKBo_000001_000011,Entertainment,95,2,1.9,2,0.10000000000000009,0,7.368421052631579,19.23996690444059,30.0,-11.87154585180901,1,1,0.9,1,1,1,0,0,0,0,0,0
-vOIoARsw-U_000007_000017,How-to & Instructional,47,2,1,2,1,0,8.51063829787234,9.901556776556777,21.428571428571427,-1.390918478684437,1,1,0.9,0,0,0,1,1,0.1,0,0,0
LM1VpDAA9gc_000038_000048,News & Politics,69,2,1.2,3,0.8,-1,2.898550724637681,7.693166482640167,15.789473684210526,-4.794615758002486,0,1,0.7,1,1,0.1,1,1,0.4,0,0,0
9Fk7m53T8Mc_000040_000050,Entertainment,56,4,2.9,4,1.1,0,12.5,28.08395770895771,41.666666666666664,-15.583957708957708,1,1,0.9,1,1,0.9,1,1,0.2,1,1,0.9
wGL_FYau9Y0_000022_000032,People & Vlogs,36,3,1.7,2,1.3,1,16.666666666666668,13.475611376927167,28.571428571428573,3.1910552897395004,1,1,0.8,1,1,0.7,1,1,0.2,0,0,0
6ZOzr48y3I0_000288_000298,How-to & Instructional,64,3,1.7,3,1.3,0,7.8125,11.837391366803132,21.428571428571427,-4.024891366803132,1,1,0.8,1,1,0.5,1,1,0.4,0,0,0
iGmGQxox43I_000000_000010,How-to & Instructional,58,3,1.7,2,1.3,1,12.068965517241379,16.606032856032858,28.571428571428573,-4.537067338791479,1,1,1,1,1,0.6,1,1,0.1,0,0,0
fajKTgNPHyc_000001_000011,Film & Animation,58,2,1.6,3,0.3999999999999999,-1,5.172413793103448,12.87298893916541,35.294117647058826,-7.700575146061961,0,1,0.4,1,1,0.9,1,1,0.3,0,0,0
tBDXQde26fc_000000_000010,Event,44,3,2.4,3,0.6000000000000001,0,13.636363636363637,22.449021566668627,36.36363636363637,-8.81265793030499,1,1,1,1,1,1,1,1,0.4,0,0,0
