metric,rho,tau,wins,full,w_scenetwin,extra
blend_all4_with_claude_vlm_completeness_norm_39,0.9610986815006921,0.889476967572482,54/54,17/18,0.39,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_40,0.9610986815006921,0.889476967572482,54/54,17/18,0.40,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_45,0.9610986815006921,0.889476967572482,54/54,17/18,0.45,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_08,0.9608806525785107,0.8879152519815675,54/54,17/18,0.08,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_09,0.9608806525785107,0.8879152519815675,54/54,17/18,0.09,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_20,0.9608806525785107,0.8879152519815675,54/54,17/18,0.20,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_21,0.9608806525785107,0.8879152519815675,54/54,17/18,0.21,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_22,0.9608806525785107,0.8879152519815675,54/54,17/18,0.22,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_23,0.9608806525785107,0.8879152519815675,54/54,17/18,0.23,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_24,0.9608806525785107,0.8879152519815675,54/54,17/18,0.24,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_25,0.9608806525785107,0.8879152519815675,54/54,17/18,0.25,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_26,0.9608806525785107,0.8879152519815675,54/54,17/18,0.26,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_27,0.9608806525785107,0.8879152519815675,54/54,17/18,0.27,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_28,0.9608806525785107,0.8879152519815675,54/54,17/18,0.28,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_33,0.9607583989305638,0.8861786639568848,54/54,17/18,0.33,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_35,0.9607583989305638,0.8861786639568848,54/54,17/18,0.35,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_36,0.9607583989305638,0.8861786639568848,54/54,17/18,0.36,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_37,0.9607583989305638,0.8861786639568848,54/54,17/18,0.37,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_38,0.9607583989305638,0.8861786639568848,54/54,17/18,0.38,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_39,0.9607583989305638,0.8861786639568848,54/54,17/18,0.39,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_40,0.9607583989305638,0.8861786639568848,54/54,17/18,0.40,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_34,0.9604934556307293,0.8885307154793196,54/54,17/18,0.34,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_35,0.9604934556307293,0.8885307154793196,54/54,17/18,0.35,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_44,0.9604934556307293,0.8885307154793196,54/54,17/18,0.44,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_03,0.9602759448047042,0.8869716651037974,53/54,16/18,0.03,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_04,0.9602759448047042,0.8869716651037974,53/54,16/18,0.04,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_05,0.9602759448047042,0.8869716651037974,53/54,16/18,0.05,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_06,0.9602759448047042,0.8869716651037974,53/54,16/18,0.06,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_07,0.9602759448047042,0.8869716651037974,53/54,16/18,0.07,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_10,0.9602759448047042,0.8869716651037974,54/54,17/18,0.10,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_15,0.9602759448047042,0.8869716651037974,54/54,17/18,0.15,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_16,0.9602759448047042,0.8869716651037974,54/54,17/18,0.16,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_17,0.9602759448047042,0.8869716651037974,54/54,17/18,0.17,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_18,0.9602759448047042,0.8869716651037974,54/54,17/18,0.18,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_19,0.9602759448047042,0.8869716651037974,54/54,17/18,0.19,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_51,0.9602759448047042,0.8869716651037974,54/54,18/18,0.51,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_52,0.9602759448047042,0.8869716651037974,54/54,18/18,0.52,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_53,0.9602759448047042,0.8869716651037974,54/54,18/18,0.53,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_54,0.9602759448047042,0.8869716651037974,54/54,18/18,0.54,claude_vlm_specificity_norm
claude_vlm_completeness_norm,0.9601836261553279,0.8940104203506279,54/54,16/18,,
blend_all4_with_claude_vlm_completeness_norm_00,0.9601836261553279,0.8940104203506279,54/54,16/18,0.00,claude_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_26,0.9601541483651986,0.885237922275402,54/54,17/18,0.26,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_27,0.9601541483651986,0.885237922275402,54/54,17/18,0.27,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_28,0.9601541483651986,0.885237922275402,54/54,17/18,0.28,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_29,0.9601541483651986,0.885237922275402,54/54,17/18,0.29,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_32,0.9601541483651986,0.885237922275402,54/54,17/18,0.32,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_34,0.9601541483651986,0.885237922275402,54/54,17/18,0.34,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_19,0.9598882297607667,0.8875844633861575,54/54,16/18,0.19,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_20,0.9598882297607667,0.8875844633861575,54/54,16/18,0.20,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_21,0.9598882297607667,0.8875844633861575,54/54,16/18,0.21,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_22,0.9598882297607667,0.8875844633861575,54/54,16/18,0.22,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_23,0.9598882297607667,0.8875844633861575,54/54,16/18,0.23,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_24,0.9598882297607667,0.8875844633861575,54/54,16/18,0.24,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_25,0.9598882297607667,0.8875844633861575,54/54,16/18,0.25,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_28,0.9598882297607667,0.8875844633861575,54/54,16/18,0.28,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_29,0.9598882297607667,0.8875844633861575,54/54,16/18,0.29,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_30,0.9598882297607667,0.8875844633861575,54/54,16/18,0.30,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_31,0.9598882297607667,0.8875844633861575,54/54,16/18,0.31,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_32,0.9598882297607667,0.8875844633861575,54/54,16/18,0.32,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_01,0.9596712370308976,0.8860280782260274,53/54,16/18,0.01,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_02,0.9596712370308976,0.8860280782260274,53/54,16/18,0.02,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_11,0.9596712370308976,0.8860280782260274,54/54,17/18,0.11,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_12,0.9596712370308976,0.8860280782260274,54/54,17/18,0.12,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_13,0.9596712370308976,0.8860280782260274,54/54,17/18,0.13,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_55,0.9596712370308976,0.8860280782260274,54/54,18/18,0.55,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_30,0.9595498977998335,0.884297180593919,54/54,17/18,0.30,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_31,0.9595498977998335,0.884297180593919,54/54,17/18,0.31,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_16,0.9592830038908041,0.8866382112929952,54/54,16/18,0.16,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_17,0.9592830038908041,0.8866382112929952,54/54,16/18,0.17,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_18,0.9592830038908041,0.8866382112929952,54/54,16/18,0.18,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_26,0.9592830038908041,0.8866382112929952,54/54,16/18,0.26,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_27,0.9592830038908041,0.8866382112929952,54/54,16/18,0.27,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_33,0.9592830038908041,0.8866382112929952,54/54,16/18,0.33,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_46,0.9592830038908041,0.8866382112929952,54/54,17/18,0.46,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_14,0.9590665292570911,0.8850844913482575,54/54,17/18,0.14,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_56,0.9590665292570911,0.8850844913482575,54/54,18/18,0.56,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_57,0.9590665292570911,0.8850844913482575,54/54,18/18,0.57,claude_vlm_specificity_norm
vlm_best_dims_mean,0.9590214992301448,0.8876474718901852,54/54,16/18,,
blend_all4_with_vlm_best_dims_mean_00,0.9590214992301448,0.8876474718901852,54/54,16/18,0.00,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_18,0.9589456472344684,0.8833564389124361,54/54,16/18,0.18,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_19,0.9589456472344684,0.8833564389124361,54/54,16/18,0.19,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_20,0.9589456472344684,0.8833564389124361,54/54,16/18,0.20,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_21,0.9589456472344684,0.8833564389124361,54/54,16/18,0.21,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_22,0.9589456472344684,0.8833564389124361,54/54,16/18,0.22,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_25,0.9589456472344684,0.8833564389124361,54/54,16/18,0.25,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_41,0.9589456472344684,0.8833564389124361,54/54,17/18,0.41,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_42,0.9589456472344684,0.8833564389124361,54/54,17/18,0.42,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_43,0.9589456472344684,0.8833564389124361,54/54,17/18,0.43,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_44,0.9589456472344684,0.8833564389124361,54/54,17/18,0.44,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_10,0.9586777780208414,0.8856919591998331,54/54,16/18,0.10,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_11,0.9586777780208414,0.8856919591998331,54/54,16/18,0.11,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_12,0.9586777780208414,0.8856919591998331,54/54,16/18,0.12,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_13,0.9586777780208414,0.8856919591998331,54/54,16/18,0.13,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_14,0.9586777780208414,0.8856919591998331,54/54,16/18,0.14,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_15,0.9586777780208414,0.8856919591998331,54/54,16/18,0.15,claude_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_17,0.9583413966691032,0.8824156972309534,54/54,16/18,0.17,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_23,0.9583413966691032,0.8824156972309534,54/54,16/18,0.23,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_24,0.9583413966691032,0.8824156972309534,54/54,16/18,0.24,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_47,0.9580725521508787,0.8847457071066709,54/54,17/18,0.47,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_58,0.9578571137094782,0.8831973175927175,54/54,18/18,0.58,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_08,0.9577371461037381,0.8814749555494704,54/54,16/18,0.08,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_09,0.9577371461037381,0.8814749555494704,54/54,16/18,0.09,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_10,0.9577371461037381,0.8814749555494704,54/54,16/18,0.10,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_16,0.9577371461037381,0.8814749555494704,54/54,16/18,0.16,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_45,0.9577371461037381,0.8814749555494704,54/54,17/18,0.45,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_05,0.9574673262809161,0.8837994550135085,54/54,16/18,0.05,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_06,0.9574673262809161,0.8837994550135085,54/54,16/18,0.06,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_07,0.9574673262809161,0.8837994550135085,54/54,16/18,0.07,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_08,0.9574673262809161,0.8837994550135085,54/54,16/18,0.08,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_09,0.9574673262809161,0.8837994550135085,54/54,16/18,0.09,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_49,0.9574673262809161,0.8837994550135085,54/54,17/18,0.49,claude_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_07,0.957132895538373,0.8805342138679876,54/54,16/18,0.07,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_11,0.957132895538373,0.8805342138679876,54/54,16/18,0.11,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_12,0.957132895538373,0.8805342138679876,54/54,16/18,0.12,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_15,0.957132895538373,0.8805342138679876,54/54,16/18,0.15,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_46,0.957132895538373,0.8805342138679876,54/54,17/18,0.46,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_47,0.957132895538373,0.8805342138679876,54/54,17/18,0.47,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_01,0.9568621004109534,0.8828532029203464,54/54,16/18,0.01,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_02,0.9568621004109534,0.8828532029203464,54/54,16/18,0.02,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_03,0.9568621004109534,0.8828532029203464,54/54,16/18,0.03,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_04,0.9568621004109534,0.8828532029203464,54/54,16/18,0.04,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_48,0.9568621004109534,0.8828532029203464,54/54,17/18,0.48,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_50,0.9568621004109534,0.8828532029203464,54/54,17/18,0.50,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_51,0.9568621004109534,0.8828532029203464,54/54,17/18,0.51,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_52,0.9568621004109534,0.8828532029203464,54/54,17/18,0.52,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_57,0.9568621004109534,0.8828532029203464,54/54,17/18,0.57,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_58,0.9568621004109534,0.8828532029203464,54/54,17/18,0.58,claude_vlm_completeness_norm
claude_vlm_specificity_norm,0.95667464607514,0.8896517044200831,53/54,16/18,,
blend_all4_with_claude_vlm_specificity_norm_00,0.95667464607514,0.8896517044200831,53/54,16/18,0.00,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_59,0.9566476981618652,0.8813101438371774,54/54,18/18,0.59,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_60,0.9566476981618652,0.8813101438371774,54/54,18/18,0.60,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_61,0.9566476981618652,0.8813101438371774,54/54,18/18,0.61,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_62,0.9566476981618652,0.8813101438371774,54/54,18/18,0.62,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_01,0.9565286449730078,0.8795934721865046,54/54,16/18,0.01,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_02,0.9565286449730078,0.8795934721865046,54/54,16/18,0.02,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_03,0.9565286449730078,0.8795934721865046,54/54,16/18,0.03,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_04,0.9565286449730078,0.8795934721865046,54/54,16/18,0.04,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_05,0.9565286449730078,0.8795934721865046,54/54,16/18,0.05,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_06,0.9565286449730078,0.8795934721865046,54/54,16/18,0.06,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_14,0.9565286449730078,0.8795934721865046,54/54,16/18,0.14,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_48,0.9565286449730078,0.8795934721865046,54/54,17/18,0.48,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_49,0.9565286449730078,0.8795934721865046,54/54,17/18,0.49,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_60,0.9562647558330976,0.8820988992353397,54/54,17/18,0.60,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_53,0.9562568745409908,0.8819069508271842,54/54,17/18,0.53,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_59,0.9562568745409908,0.8819069508271842,54/54,17/18,0.59,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_63,0.9560429903880587,0.8803665569594075,54/54,18/18,0.63,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_64,0.9560429903880587,0.8803665569594075,54/54,18/18,0.64,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_65,0.9560429903880587,0.8803665569594075,54/54,18/18,0.65,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_66,0.9560429903880587,0.8803665569594075,54/54,18/18,0.66,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_13,0.9559243944076428,0.8786527305050217,54/54,16/18,0.13,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_50,0.9559243944076428,0.8786527305050217,54/54,17/18,0.50,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_54,0.9556516486710283,0.880960698734022,54/54,17/18,0.54,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_55,0.9556516486710283,0.880960698734022,54/54,17/18,0.55,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_56,0.9556516486710283,0.880960698734022,54/54,17/18,0.56,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_61,0.9550464228010654,0.880960698734022,54/54,17/18,0.61,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_62,0.9550464228010654,0.880960698734022,54/54,17/18,0.62,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_67,0.9548335748404458,0.8794229700816374,54/54,18/18,0.67,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_68,0.9548335748404458,0.8794229700816374,54/54,18/18,0.68,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_51,0.9547158932769124,0.8767712471420559,54/54,17/18,0.51,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_63,0.9544411969311029,0.8800144466408598,54/54,17/18,0.63,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_69,0.9542288670666393,0.8784793832038675,54/54,18/18,0.69,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_70,0.9542288670666393,0.8784793832038675,54/54,18/18,0.70,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_52,0.9541116427115474,0.8758305054605731,54/54,17/18,0.52,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_64,0.95383597106114,0.8790681945476975,54/54,17/18,0.64,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_65,0.95383597106114,0.8790681945476975,54/54,17/18,0.65,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_66,0.95383597106114,0.8790681945476975,54/54,17/18,0.66,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_67,0.95383597106114,0.8790681945476975,54/54,17/18,0.67,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_71,0.9536241592928327,0.8775357963260975,54/54,18/18,0.71,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_53,0.9535073921461822,0.8748897637790901,54/54,17/18,0.53,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_54,0.952903141580817,0.8739490220976072,54/54,17/18,0.54,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_55,0.952903141580817,0.8739490220976072,54/54,17/18,0.55,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_56,0.952903141580817,0.8739490220976072,54/54,17/18,0.56,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_57,0.952903141580817,0.8739490220976072,54/54,17/18,0.57,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_58,0.952903141580817,0.8739490220976072,54/54,17/18,0.58,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_68,0.9526255193212149,0.8771756903613731,54/54,17/18,0.68,claude_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_59,0.952298891015452,0.8730082804161244,54/54,17/18,0.59,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_60,0.952298891015452,0.8730082804161244,54/54,17/18,0.60,vlm_best_dims_mean
blend_all4_with_claude_vlm_specificity_norm_72,0.9518100359714133,0.8747050356927875,54/54,18/18,0.72,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_73,0.9518100359714133,0.8747050356927875,54/54,18/18,0.73,claude_vlm_specificity_norm
blend_all4_with_vlm_best_dims_mean_61,0.9516946404500868,0.8720675387346415,54/54,17/18,0.61,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_62,0.9510903898847216,0.8711267970531587,54/54,17/18,0.62,vlm_best_dims_mean
blend_all4_with_gpt_vlm_completeness_norm_42,0.9505927993505184,0.8716857005411998,53/54,16/18,0.42,gpt_vlm_completeness_norm
