clip_idx,tier,gt,need_weighted_clip,critical_weighted_clip,clip_mean,clip_top3
16,tier3_va11y,3,0.2755031250326546,0.27334986130396527,0.2774097522099813,0.2787630491786533
17,tier0_cross,0,0.1689063748323697,0.1702168919147371,0.16898338993390402,0.1716055621703466
17,tier1_vatex_short,1,0.21821349468233442,0.21507015010938446,0.22151683208843073,0.2265188503596518
17,tier2_vatex_long,2,0.25381569123827047,0.24947794991742467,0.25851196981966496,0.2651396700077587
17,tier3_va11y,3,0.2727119887789267,0.26747400563364115,0.2770289722830057,0.2850043881270621
18,tier0_cross,0,0.10129522833866249,0.09883900808723771,0.10454180153707664,0.10736939642164443
18,tier1_vatex_short,1,0.1938596273531516,0.19383743431591746,0.1930670899649461,0.20141976906193626
18,tier2_vatex_long,2,0.20075496418974617,0.20033741567360622,0.20256389553348225,0.20933718317084846
18,tier3_va11y,3,0.21521461883788198,0.21203323076021996,0.221443227181832,0.23555633260144127
19,tier0_cross,0,0.06779860323208996,0.06854023563302253,0.06742107768853506,0.06846071779727936
19,tier1_vatex_short,1,0.22335968202541115,0.2231741525589216,0.22359061936537428,0.22614351246092054
19,tier2_vatex_long,2,0.24041310004304517,0.24015944773223433,0.24083392918109894,0.24344344105985427
19,tier3_va11y,3,0.2455504171662753,0.24620081031289998,0.2455846806367238,0.24972397254572976
